job_title;seniority_level;status;company;location;post_date;headquarter;industry;ownership;company_size;revenue;skills;Revenue_numeric;Revenue Status;AVG_Salary
data scientist;lead;Not specified;company_069;United States;a month ago;Chicago, IL, US;Technology;Private;210;Private;pytorch, spark, scikit-learn, python, neural network, machine learning, deep learning, tensorflow;;Not Reported (Private) ;114355
data scientist;midlevel;on-site;company_071;Cambridge, MA;15 days ago;Cambridge, MA, US;Technology;Public;9,070;Public;r, python, sql, machine learning, tableau;;Not Reprted (Puplic) ;171254.5
data scientist;senior;Not specified;company_075;Atlanta, GA;20 days ago;Atlanta, GA, US;Technology;Public;9,030;Ä49.86B;sql, machine learning, tableau, python;49.86;Reported;105035
data scientist;senior;remote;company_077;United States . Fully Remote;2 months ago;Phoenix, AZ, US;Technology;Private;60;Private;sql, machine learning, tableau, python;;Not Reported (Private) ;159839
data scientist;senior;on-site;company_078;San Diego, CA;9 days ago;San Diego, CA, US;Technology;Public;41,020;Ä111.15B;pytorch, python, docker, sql, neural network, kubernetes, tensorflow;111.15;Reported;140661
data scientist;senior;hybrid;company_080;Toronto, Ontario, Canada . Montreal, Quebec, Canada . Hybrid;8 days ago;Toronto, ON, CA;Finance;Public;26,040;Public;machine learning, r, python;;Not Reprted (Puplic) ;73739
data scientist;senior;hybrid;company_081;New York, NY . Hybrid;6 days ago;San Francisco, CA, US;Technology;Public;5,050;Ä4.67B;Not Defined;4.67;Reported;152074.5
data scientist;senior;on-site;company_084;On-site;14 days ago;Cary, NC, US;Technology;Private;990;Ä29.17B;Not Defined;29.17;Reported;228515
data scientist;senior;Not specified;company_089;New York, NY;8 days ago;Washington, DC, US;Finance;Public;2,290;Public;aws, git, python, sql, machine learning;;Not Reprted (Puplic) ;148423.5
machine learning engineer;senior;Not specified;company_049;Seattle, WA;15 days ago;Kent, WA, US;Technology;Private;3,810;Private;pandas, pytorch, aws, python, docker, machine learning, kubernetes, deep learning, azure, tensorflow;;Not Reported (Private) ;194619.5
data scientist;senior;hybrid;company_092;McLean, VA . Hybrid;8 days ago;Toronto, ON, CA;Technology;Public;24,040;Public;java, machine learning, r, python;;Not Reprted (Puplic) ;132617.5
data scientist;lead;on-site;company_093;Seattle, Washington, United States . On-site;12 days ago;Seattle, WA, US;Technology;Private;46;Private;Not Defined;;Not Reported (Private) ;219203
data scientist;senior;Not specified;company_094;Warsaw, Mazowieckie, Poland . Prague, Prague, Czechia . Kyiv, Kyiv City, Ukraine;3 months ago;Seattle, WA, US;Technology;Private;330;Ä913.33M;pandas, pytorch, r, python, machine learning, tensorflow;913.33;Reported;77184
data scientist;senior;on-site;company_095;On-site;3 months ago;Sunnyvale, CA, US;Technology;Private;5;Private;Not Defined;;Not Reported (Private) ;157556.5
data scientist;senior;on-site;company_096;San Francisco, California, United States . On-site;20 days ago;San Francisco, CA, US;Finance;Private;950;Ä11.43B;Not Defined;11.43;Reported;246599
data scientist;Not Specified;Not specified;company_098;Bangalore, Karnataka;5 months ago;Bengaluru, KA, IN;Technology;Private;750;Ä4.93B;Not Defined;4.93;Reported;41302
data scientist;senior;hybrid;company_099;Toronto, Ontario, Canada . Hybrid;7 days ago;Calgary, AB, CA;Technology;Public;23,860;Ä27.92B;sql, tableau, python;27.92;Reported;77161
data scientist;senior;on-site;company_100;Rock Island, IL . On-site;3 months ago;Hook, GB;Technology;Public;28,840;Public;scikit-learn, r, python, java, machine learning;;Not Reprted (Puplic) ;103554.5
data scientist;midlevel;Not specified;company_101;Cambridge, England, United Kingdom;8 days ago;Cambridge, GB;Education;Education;10,933;Education;Not Defined;;Education company;31175
data scientist;midlevel;remote;company_103;Oregon, United States . Fully Remote;4 days ago;Beaverton, OR, US;Manufacturing;Public;99,620;Ä133.03B;pandas, powerbi, r, python, sql, neural network, machine learning, deep learning, tableau;133.03;Reported;58894
